entity_id,entity_name,legal_name,sector,sub_sector,parent_organization,property_manager,address_line_1,city,state,zip_code,latitude,longitude,asset_status,verification_source,last_updated
OSM-IMP-00349,St. John's Community Hospital,St. John's Community Hospital,Healthcare,Hospital,Health Service Executive,Unknown,Ballytivnan Road,,,,54.2795442,-8.4690156,Active,OpenStreetMap,2025-11-24
OSM-IMP-00350,Sligo General Hospital,Sligo General Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,54.2750308,-8.4639832,Active,OpenStreetMap,2025-11-24
OSM-IMP-00351,Kingsbridge Private Hospital,Kingsbridge Private Hospital,Healthcare,Hospital,Kingsbridge Private Hospital,Unknown,Ray MacSharry Road,Sligo,,,54.2685112,-8.4816617,Active,OpenStreetMap,2025-11-24
OSM-IMP-00352,UPMC Sports Surgery Clinic,UPMC Sports Surgery Clinic,Healthcare,Hospital,UPMC,Unknown,Northwood Avenue,,,D09 C523,53.4046132,-6.2538232,Active,OpenStreetMap,2025-11-24
OSM-IMP-00353,Atlantic Technological University Saint Angelas,Atlantic Technological University Saint Angelas,Education,University,Atlantic Technological University,Unknown,Needs Verification,Lough Gill,,F91 C634,54.2595136,-8.3834921,Active,OpenStreetMap,2025-11-24
OSM-IMP-00354,St. Raphael's Hospital,St. Raphael's Hospital,Healthcare,Hospital,Unknown,Unknown,Clane Road,Celbridge,,,53.3373464,-6.5452527,Active,OpenStreetMap,2025-11-24
OSM-IMP-00355,Royal College of Surgeons in Ireland,Royal College of Surgeons in Ireland,Education,University,Royal College of Surgeons in Ireland,Unknown,St. Stephen's Green,Dublin,,,53.3394284,-6.263229,Active,OpenStreetMap,2025-11-24
OSM-IMP-00356,University College Dublin (Belfield Campus),University College Dublin (Belfield Campus),Education,University,National University of Ireland,Unknown,Needs Verification,,,,53.306846,-6.2232224,Active,OpenStreetMap,2025-11-24
OSM-IMP-00357,"School of Nursing and Midwifery (Trinity College, Dublin)","School of Nursing and Midwifery (Trinity College, Dublin)",Education,University,"Trinity College, Dublin",Unknown,24 D'Olier Street,Dublin,,,53.3466419,-6.2576587,Active,OpenStreetMap,2025-11-24
OSM-IMP-00358,University College Dublin - Lyons Research Farm,University College Dublin - Lyons Research Farm,Education,University,University College Dublin,Unknown,Needs Verification,,,,53.3000635,-6.5331016,Active,OpenStreetMap,2025-11-24
OSM-IMP-00359,Sacred Heart Hospital,Sacred Heart Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,53.6229704,-8.1838758,Active,OpenStreetMap,2025-11-24
OSM-IMP-00360,Louth County Hospital,Louth County Hospital,Healthcare,Hospital,Health Service Executive,Unknown,Needs Verification,,,,53.9878489,-6.4008651,Active,OpenStreetMap,2025-11-24
OSM-IMP-00361,Craigavon Area Hospital,Craigavon Area Hospital,Healthcare,Hospital,Unknown,Unknown,68 Lurgan Road,Portadown,,BT63 5QQ,54.4344305,-6.4112199,Active,OpenStreetMap,2025-11-24
OSM-IMP-00362,Dublin City University All Hallows Campus,Dublin City University All Hallows Campus,Education,University,Dublin City University,Unknown,Needs Verification,,,,53.37108,-6.2484687,Active,OpenStreetMap,2025-11-24
OSM-IMP-00363,Saint Patricks Community Hospital,Saint Patricks Community Hospital,Healthcare,Hospital,Health Service Executive,Unknown,Needs Verification,,,,53.9509922,-8.0851596,Active,OpenStreetMap,2025-11-24
OSM-IMP-00364,Letterkenny University Hospital,Letterkenny University Hospital,Healthcare,Hospital,Health Service Executive,Unknown,Needs Verification,,,,54.9601244,-7.7348334,Active,OpenStreetMap,2025-11-24
OSM-IMP-00365,Swinford District Hospital,Swinford District Hospital,Healthcare,Hospital,Unknown,Unknown,Dublin Road,Swinford,,,53.94316,-8.9455581,Active,OpenStreetMap,2025-11-24
OSM-IMP-00366,Queen's University Belfast,Queen's University Belfast,Education,University,Unknown,Unknown,Needs Verification,,,,54.5805349,-5.9370776,Active,OpenStreetMap,2025-11-24
OSM-IMP-00367,Skibbereen Hospital,Skibbereen Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,51.5631798,-9.2622498,Active,OpenStreetMap,2025-11-24
OSM-IMP-00368,Mary Immaculate College,Mary Immaculate College,Education,University,Unknown,Unknown,Needs Verification,,,,52.6538473,-8.6427007,Active,OpenStreetMap,2025-11-24
OSM-IMP-00369,Kimmage Manor,Kimmage Manor,Education,University,Unknown,Unknown,Needs Verification,,,,53.3086569,-6.3086177,Active,OpenStreetMap,2025-11-24
OSM-IMP-00370,Queen's University Belfast,Queen's University Belfast,Education,University,Unknown,Unknown,University Road,,,BT7 1NN,54.5825981,-5.9358304,Active,OpenStreetMap,2025-11-24
OSM-IMP-00371,Health Sciences Campus,Health Sciences Campus,Education,University,Queen's University Belfast,Unknown,Needs Verification,,,,54.5860151,-5.9441007,Active,OpenStreetMap,2025-11-24
OSM-IMP-00372,Sligo Leitrim Mental Health Service Inpatient Approved Centre,Sligo Leitrim Mental Health Service Inpatient Approved Centre,Healthcare,Hospital,Unknown,Unknown,Clarion Road,Sligo,,F91 CD34,54.2815884,-8.4573679,Active,OpenStreetMap,2025-11-24
OSM-IMP-00373,Technological University Dublin - Grangegorman Campus,Technological University Dublin - Grangegorman Campus,Education,University,Technological University Dublin,Unknown,Grangegorman Lower,,,,53.3551463,-6.2808182,Active,OpenStreetMap,2025-11-24
OSM-IMP-00374,Galway Clinic,Galway Clinic,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,53.2819427,-8.9736294,Active,OpenStreetMap,2025-11-24
OSM-IMP-00375,South East Technological University - Cork Road Campus,South East Technological University - Cork Road Campus,Education,University,South East Technological University,Unknown,Cork Road,Waterford,,X91 K0EK,52.2463058,-7.1396922,Active,OpenStreetMap,2025-11-24
OSM-IMP-00376,James Connolly Memorial Hospital,James Connolly Memorial Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,55.2457324,-7.2681426,Active,OpenStreetMap,2025-11-24
OSM-IMP-00377,St Vincent's University Hospital,St Vincent's University Hospital,Healthcare,Hospital,St. Vincent’s Healthcare Group,Unknown,Merrion Road,,,D04 T6F4,53.3168233,-6.2127298,Active,OpenStreetMap,2025-11-24
OSM-IMP-00378,"Saint Brigid's Hospital, Shaen","Saint Brigid's Hospital, Shaen",Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,53.0779874,-7.249881,Active,OpenStreetMap,2025-11-24
OSM-IMP-00380,St Joseph's Hospital,St Joseph's Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,53.3828567,-6.1817864,Active,OpenStreetMap,2025-11-24
OSM-IMP-00381,Ollscoil na Gaillimhe - University of Galway,Ollscoil na Gaillimhe - University of Galway,Education,University,Ollscoil na Gaillimhe - University of Galway,Unknown,University Road,Galway,,H91 TK33,53.2860076,-9.0689933,Active,OpenStreetMap,2025-11-24
OSM-IMP-00382,Buncrana Community Hospital,Buncrana Community Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,55.1337178,-7.4492642,Active,OpenStreetMap,2025-11-24
OSM-IMP-00383,Tyrone and Fermanagh Hospital,Tyrone and Fermanagh Hospital,Healthcare,Hospital,Western Health and Social Care Trust,Unknown,Hospital Road,Omagh,,BT79 0AP,54.5917393,-7.2698206,Active,OpenStreetMap,2025-11-24
OSM-IMP-00384,Tara Winthrop Clinic,Tara Winthrop Clinic,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,53.4441105,-6.2264036,Active,OpenStreetMap,2025-11-24
OSM-IMP-00385,Technological University of the Shannon: Midlands Midwest,Technological University of the Shannon: Midlands Midwest,Education,University,Technological University of the Shannon: Midlands Midwest,Unknown,Dublin Road,Athlone,,N37 HD68,53.4184348,-7.9048156,Active,OpenStreetMap,2025-11-24
OSM-IMP-00386,AIT Design College,AIT Design College,Education,University,Athlone Institute of Technology,Unknown,Needs Verification,,,,53.4258987,-7.9414085,Active,OpenStreetMap,2025-11-24
OSM-IMP-00387,Ulster University,Ulster University,Education,University,Unknown,Unknown,Needs Verification,,,,54.879947,-6.6010538,Active,OpenStreetMap,2025-11-24
OSM-IMP-00388,St Vincent's Hospital,St Vincent's Hospital,Healthcare,Hospital,Health Service Executive,Unknown,Coosan Point Road,Athlone,,,53.4269627,-7.9418349,Active,OpenStreetMap,2025-11-24
OSM-IMP-00389,Dalriada Student Village,Dalriada Student Village,Education,University,Unknown,Unknown,Needs Verification,,,,54.6845901,-5.8821206,Active,OpenStreetMap,2025-11-24
OSM-IMP-00390,Dublin Dental University Hospital,Dublin Dental University Hospital,Healthcare,Hospital,Unknown,Unknown,Lincoln Place,Dublin,,,53.3422523,-6.2520441,Active,OpenStreetMap,2025-11-24
