name,address,postcode,building_levels,apartments,latitude,longitude,osm_id,osm_type
Unnamed,"54, Parnell Square West, Dublin",,,,53.3520876,-6.2637434,256708221,way
Unnamed,"55, Parnell Square West",,,,53.3520423,-6.26368,256708222,way
Unnamed,"57, Parnell Square West, Dublin",,,,53.3519371,-6.2635278,256708224,way
Hapenny Bridge House,"Ormond Quay Lower, Dublin",,,,53.3466205,-6.2655926,256728269,way
Unnamed,"49-50, Parnell Square West",,,,53.3522851,-6.2641059,256911797,way
Unnamed,"51, Parnell Square West, Dublin",,,,53.3522414,-6.2639538,256911798,way
Unnamed,"53, Parnell Square West",,4,,53.3521348,-6.2638119,256911800,way
Unnamed,Dame Street,,5,,53.3443422,-6.2640245,264901995,way
Aston Abbey,"10, Aston Quay, Dublin",,4,,53.3463139,-6.2609653,274036081,way
Unnamed,"9, Parliament Street, Dublin",,,,53.344612,-6.2671832,280182405,way
Unnamed,"11, Parliament Street, Dublin",,5,,53.3447164,-6.2671693,280182406,way
Unnamed,"10, Parliament Street, Dublin",,4,,53.344668,-6.2671518,280182407,way
Unnamed,"12, Parliament Street, Dublin",,5,,53.3447633,-6.2671807,280182408,way
Unnamed,"13, Parliament Street, Dublin",,5,,53.3448109,-6.2671968,280182409,way
Unnamed,"14, Parliament Street, Dublin",,5,,53.3448585,-6.2672193,280182410,way
Unnamed,"15, Parliament Street",,5,,53.3449129,-6.2672365,280182411,way
Unnamed,"2, Parnell Square East",,4,,53.3535254,-6.2619707,281142258,way
Irish Writers Centre,"19, Parnell Square North, Dublin",,,,53.3543455,-6.2641796,281253909,way
Unnamed,"54, Dame Street",,4,,53.344301,-6.2643882,281357147,way
Unnamed,,,3,,53.3442972,-6.264571,281357149,way
Unnamed,"55, Dame Street",,4,,53.3442864,-6.2644805,281357150,way
Unnamed,,,3,,53.3442946,-6.2647479,281357153,way
Unnamed,,,4,,53.3442924,-6.2646559,281357155,way
Unnamed,"5, Parliament Street, Dublin",,5,,53.3444195,-6.2671173,281652281,way
Unnamed,"7, Parliament Street, Dublin",,5,,53.3445211,-6.2671222,281652283,way
Unnamed,,,3,,53.3460741,-6.2621825,281688576,way
Unnamed,,,5,,53.3470216,-6.2656754,282634593,way
Unnamed,"Sean Mac Dermott Street Lower, Dublin",,7,,53.353007,-6.2549327,289866530,way
Aldborough Court,"North Strand Road, Dublin",,,,53.355178,-6.2467953,289868623,way
Dorset Point,"107, Dorset Street Upper",,5,,53.3552019,-6.266743,290553360,way
Unnamed,,,5,,53.3548476,-6.2658888,290556150,way
Unnamed,"1, Hill Street",,,,53.3554063,-6.2593331,291297793,way
Father Scully House,"Gardiner Street Middle, Dublin",,7,,53.355108,-6.2580272,291297944,way
Unnamed,"36-37, Hill Street",,,,53.3547391,-6.2598131,291298272,way
Unnamed,Dublin,,,,53.3527801,-6.2525526,291337462,way
Unnamed,"63, Sean Mac Dermott Street Lower, Dublin",,,,53.3538797,-6.250761,291337559,way
Unnamed,,,,,53.3557731,-6.2635406,291339565,way
Buckley Hall,"Buckingham Street Lower, Dublin",,5,,53.3537334,-6.2499846,293027971,way
Unnamed,,,,,53.3527476,-6.2584267,293302438,way
Unnamed,,,5,,53.3538838,-6.2574189,293303945,way
Unnamed,"Gardiner Street Middle, Dublin",,5,,53.3542753,-6.2573619,293303948,way
The Courtyard,"Hill Street, Dublin",,,,53.3541532,-6.2591859,293305530,way
Unnamed,,,,,53.3458512,-6.2626487,294962262,way
Unnamed,,,3,,53.345748,-6.2622136,294962769,way
Unnamed,,,2,,53.3458752,-6.2619295,294962771,way
Unnamed,Fownes Street Upper,,3,,53.3451737,-6.26352,294972560,way
Unnamed,,,4,,53.3545896,-6.2538467,295247290,way
Dorset Square,Gardiner Street Upper,,6,,53.357989,-6.2613809,295381994,way
Unnamed,"George's Place, Dublin",,3,,53.3577162,-6.2626228,295381995,way
Unnamed,"George's Place, Dublin",,3,,53.3575445,-6.2622288,295381996,way
Unnamed,"50, City Quay, Dublin",,4,,53.346407,-6.246426,297641216,way
The Granby Centre,"Granby Row, Dublin",,3,,53.3538353,-6.2666727,301183218,way
Unnamed,,,,,53.3569739,-6.2552728,306926554,way
Summerhill Court (1-22a),"Summerhill, Dublin",,3,,53.3547412,-6.2548463,310423016,way
Summerhill Court (23-33),"80, Summerhill, Dublin",,3,,53.3549694,-6.2542367,310423018,way
Patrick Heeney House,"Summerhill, Dublin",,4,,53.3551246,-6.2538127,310423020,way
Quartiere Bloom,,,,,53.3464832,-6.264981,316644284,way
Unnamed,,,,,53.3514265,-6.2604975,316971225,way
Unnamed,,,,,53.3519433,-6.2604938,316971227,way
Unnamed,"80-83, Summerhill, Dublin",D01 PT99,4,,53.3564997,-6.2513056,337932057,way
Summerhill Court (34-39),"Summerhill, Dublin",,3,,53.3552927,-6.2533686,337932058,way
Rendu Apartments,"William Street North, Dublin",,,,53.357495,-6.2475293,339091195,way
20-45,"20-45, Charleville Mall, Dublin",,5,,53.3565186,-6.2450878,339091200,way
50-70,"50-70, William Street North, Dublin",,5,,53.3562473,-6.2453478,339091203,way
Unnamed,,,,,53.3563733,-6.24533,339091204,way
Unnamed,,,,,53.3560631,-6.2456574,339091206,way
71-96,"71-96, William Street North, Dublin",,5,,53.3560049,-6.2457428,339091208,way
Langrishe Place Gardens,"Summerhill, Dublin",,,,53.3546398,-6.2562092,339411485,way
Unnamed,"37, North Lotts, Dublin",,,,53.3479179,-6.2610403,340376460,way
St. Agatha's Court,"William Street North, Dublin",,2,,53.3566757,-6.2466263,340543270,way
Tyrone House,"James Joyce Street, Dublin",,,,53.3520479,-6.2540889,352155582,way
Montgomery House,"James Joyce Street, Dublin",,,,53.35191,-6.2539805,352155583,way
Carroll's Irish Gifts,"33, O'Connell Street Lower, Dublin",,,,53.3497074,-6.2597952,353991663,way
Unnamed,"1-2, O'Connell Street Upper, Dublin",,6,,53.3500094,-6.2598713,353993706,way
Unnamed,,,,,53.3446497,-6.2616924,354398449,way
Unnamed,"Temple Lane North, Dublin",,2,,53.3546616,-6.2587988,359315105,way
Unnamed,"26, North Great George's Street, Dublin",,,,53.3536732,-6.2599934,363240996,way
Unnamed,,,,,53.3532836,-6.2508855,365843444,way
Ticket Office,"George's Quay, Dublin",,4,,53.3472931,-6.2546583,376662373,way
Unnamed,,,,,53.3546999,-6.2521534,378831690,way
Trinity Square,,,5,,53.3456412,-6.247633,386571733,way
Unnamed,,,,,53.3448475,-6.2474603,394745692,way
Unnamed,"23, Gardiner Street Middle, Dublin",,,,53.3553333,-6.2574253,395001665,way
Unnamed,"21, Gardiner Street Middle, Dublin",,,,53.3554698,-6.257504,395001981,way
Unnamed,"22, Gardiner Street Middle, Dublin",,,,53.3554062,-6.2574567,395001982,way
Belmont Hall,"32-43, Gardiner Street Middle, Dublin",,5,,53.3545074,-6.2573536,395001986,way
Belmont Hall (44-64),Dublin,,5,,53.3547449,-6.2575718,395001987,way
Unnamed,,,,,53.3451658,-6.2459107,395065660,way
Unnamed,Windmill Lane Apartments,,,,53.3450847,-6.2450069,395066819,way
Unnamed,,,,,53.3452817,-6.2644984,441055587,way
Unnamed,,,,,53.3451869,-6.2630913,441055589,way
Unnamed,,,4,,53.34489,-6.2661995,441055590,way
Unnamed,,,,,53.3493832,-6.2680327,489671618,way
Ivy Exchange,"Granby Place, Dublin",,5,,53.3521744,-6.2647694,492437757,way
Unnamed,,,,,53.3461404,-6.2496918,518995668,way
Beckett House,Summerhill,,,,53.3551521,-6.255845,544890482,way
Unnamed,"175-176, North Strand Road",,,,53.3547482,-6.2462523,555293415,way
ILAC Centre,"Henry Street, Dublin",D01 HW54,7,,53.3499978,-6.264375,558926731,way
Unnamed,,,,,53.3544205,-6.267053,560423641,way
Unnamed,,,,,53.3523948,-6.2523524,561595448,way
Unnamed,,,,,53.3511173,-6.2510181,584286614,way
Railway Court,"Railway Street, Dublin",,6,,53.3529258,-6.2517845,610561024,way
Unnamed,,,,,53.3443859,-6.2675679,611618534,way
Unnamed,,,5,,53.3443149,-6.2675483,611618537,way
Unnamed,"Parliament Street, Dublin",,,,53.3444361,-6.2675882,611618539,way
Unnamed,,,4,,53.34432,-6.2677948,611618543,way
Unnamed,,,,,53.3444398,-6.2678512,611618545,way
Unnamed,,,,,53.3445346,-6.2678764,611618550,way
Unnamed,"4, Henry Street",,,,53.3490939,-6.2640289,612788296,way
Unnamed,"5, Henry Street",,,,53.3491079,-6.2639384,612788297,way
Unnamed,"6, Henry Street",,,,53.3491243,-6.2638303,612788298,way
Unnamed,"5, Great Strand Street, Dublin",,3,,53.3464721,-6.2671484,619893952,way
Unnamed,,,5,,53.3465918,-6.2664827,619893957,way
Unnamed,"Buckingham Street Upper, Dublin",,4,,53.3555585,-6.2508225,656146755,way
Unnamed,"George's Place, Dublin",,6,,53.3579509,-6.2618847,657994338,way
Unnamed,,,9,,53.3510364,-6.2638403,658248811,way
Unnamed,,,7,,53.3504447,-6.2653367,658248812,way
Unnamed,"50, Mary Street",,3,,53.3488658,-6.2670647,665994759,way
Bradgoue House,"Mary Street, Dublin",,4,,53.3488926,-6.2672948,665994760,way
Unnamed,,,3,,53.3490501,-6.26698,665994762,way
Spar,"8, O'Connell Street Upper, Dublin",,5,,53.3503561,-6.2601021,696901402,way
Unnamed,"5, O'Connell Street Upper, Dublin",,,,53.350202,-6.2600307,696901405,way
Unnamed,"13, North Earl Street, Dublin",,,,53.3499896,-6.258483,696901423,way
Home Interiors,"10, North Earl Street, Dublin",,,,53.3499378,-6.2587433,696901426,way
Unnamed,"93, Talbot Street, Dublin",,,,53.350289,-6.2564808,696909147,way
Unnamed,"14-15, O'Connell Street Lower, Dublin",,5,,53.3487089,-6.2593745,696909149,way
Vacant,"4, North Earl Street, Dublin",,,,53.3497898,-6.2594289,697131604,way
Unnamed,"16, Sackville Place, Dublin",D01 V0C7,3,,53.3488839,-6.2590782,740958708,way
Ladbrokes,"14, Sackville Place, Dublin",,3,,53.3489137,-6.2588887,740958710,way
Unnamed,"13, Sackville Place, Dublin",,3,,53.3489273,-6.2588001,740958712,way
Unnamed,"70, Parnell Street, Dublin",,,,53.3519916,-6.2623907,741006511,way
Unnamed,"71, Parnell Street, Dublin",,,,53.3520599,-6.2622089,741006512,way
Unnamed,,,3,,53.3467193,-6.2490751,753590230,way
Unnamed,,,3,,53.3467095,-6.2489953,753590231,way
Unnamed,,,3,,53.3466996,-6.2489154,753590232,way
Unnamed,,,3,,53.3466897,-6.2488356,753590233,way
Unnamed,,,3,,53.3466799,-6.2487556,753590234,way
Unnamed,,,3,,53.34667,-6.2486758,753590235,way
